transaction_id,order_id,timestamp,type,amount_inr,fee_inr,tax_inr,settled_amount_inr,status,method,exception_flag,merchant_id,store_id
pay_amz_10000003,order_amz_20000003,04-08-2026 21:39,PAYMENT,3193.96,63.88,11.5,3118.58,captured,wallet,NO,amazon,az_hyderabad
pay_amz_10000004,order_amz_20000004,05-08-2026 04:52,PAYMENT,1202.08,24.04,4.33,1173.71,captured,upi,NO,amazon,az_delhi
pay_amz_10000005,order_amz_20000005,06-08-2026 11:05,PAYMENT,1201.98,36.06,6.49,1173.61,captured,card,YES,amazon,az_mumbai
pay_amz_10000006,order_amz_20000006,07-08-2026 18:18,PAYMENT,761.38,15.23,2.74,743.41,captured,netbanking,NO,amazon,az_bangalore
pay_amz_10000007,order_amz_20000007,08-08-2026 01:31,PAYMENT,4397.79,87.96,15.83,4294.0,captured,wallet,NO,amazon,az_hyderabad
pay_amz_10000008,order_amz_20000008,09-08-2026 08:44,PAYMENT,3205.02,64.1,11.54,3129.38,captured,upi,NO,amazon,az_delhi
pay_amz_10000009,order_amz_20000009,10-08-2026 15:57,PAYMENT,3686.33,73.73,13.27,3599.33,captured,card,NO,amazon,az_mumbai
pay_amz_10000010,order_amz_20000010,11-08-2026 22:10,PAYMENT,592.63,11.85,2.13,578.65,captured,netbanking,NO,amazon,az_bangalore
pay_amz_10000011,order_amz_20000011,12-08-2026 05:23,PAYMENT,4864.59,97.29,17.51,4749.79,captured,wallet,NO,amazon,az_hyderabad
pay_amz_10000012,,13-08-2026 12:36,PAYMENT,4245.99,84.92,15.29,4145.78,captured,upi,YES,amazon,az_delhi
pay_amz_10000013,order_amz_20000013,14-08-2026 19:49,PAYMENT,1455.53,29.11,5.24,1421.18,captured,card,NO,amazon,az_mumbai
pay_amz_10000014,order_amz_20000014,15-08-2026 02:02,PAYMENT,1318.21,26.36,4.74,1287.11,captured,netbanking,NO,amazon,az_bangalore
pay_amz_10000015,order_amz_20000015,16-08-2026 09:15,PAYMENT,1325.32,26.51,4.77,1294.04,captured,wallet,NO,amazon,az_hyderabad
pay_amz_10000016,order_amz_20000016,17-08-2026 16:28,PAYMENT,1869.09,37.38,6.73,1824.98,captured,upi,NO,amazon,az_delhi
pay_amz_10000017,order_amz_20000017,18-08-2026 23:41,PAYMENT,2861.4,57.23,10.3,2793.87,captured,card,NO,amazon,az_mumbai
pay_amz_10000018,order_amz_20000018,19-08-2026 06:54,PAYMENT,2443.75,48.88,8.8,2386.07,captured,netbanking,NO,amazon,az_bangalore
pay_amz_10000019,order_amz_20000019,20-08-2026 13:07,PAYMENT,1810.53,36.21,6.52,1767.8,captured,wallet,NO,amazon,az_hyderabad
pay_amz_10000020,order_amz_20000020,21-08-2026 20:20,PAYMENT,3253.34,65.07,11.71,3176.56,disputed,upi,YES,amazon,az_delhi
pay_amz_10000021,order_amz_20000021,01-08-2026 03:33,PAYMENT,1127.72,22.55,4.06,1101.11,captured,card,NO,amazon,az_mumbai
pay_amz_10000022,order_amz_20000022,02-08-2026 10:46,PAYMENT,1814.65,36.29,6.53,1771.83,captured,netbanking,NO,amazon,az_bangalore
pay_amz_10000023,order_amz_20000023,03-08-2026 17:59,PAYMENT,2148.63,42.97,7.73,2097.93,captured,wallet,NO,amazon,az_hyderabad
pay_amz_10000024,order_amz_20000024,04-08-2026 00:12,PAYMENT,2552.31,51.05,9.19,2492.07,captured,upi,NO,amazon,az_delhi
pay_amz_10000025,order_amz_20000025,05-08-2026 07:25,PAYMENT,4033.29,80.67,14.52,0.0,failed,card,NO,amazon,az_mumbai
pay_amz_10000026,order_amz_20000026,06-08-2026 14:38,PAYMENT,1398.53,27.97,5.03,1365.53,captured,netbanking,NO,amazon,az_bangalore
pay_amz_10000027,order_amz_20000027,07-08-2026 21:51,PAYMENT,2814.05,56.28,10.13,2747.64,captured,wallet,NO,amazon,az_hyderabad
pay_amz_10000028,order_amz_20000028,08-08-2026 04:04,PAYMENT,3165.87,63.32,11.4,3091.15,captured,upi,NO,amazon,az_delhi
pay_amz_10000029,order_amz_20000029,09-08-2026 11:17,PAYMENT,709.03,14.18,2.55,692.3,captured,card,NO,amazon,az_mumbai
pay_amz_10000030,order_amz_20000030,10-08-2026 18:30,PAYMENT,3233.95,64.68,11.64,3157.63,captured,netbanking,NO,amazon,az_bangalore
pay_amz_10000031,order_amz_20000031,11-08-2026 01:43,PAYMENT,1267.36,25.35,4.56,1237.45,captured,wallet,NO,amazon,az_hyderabad
pay_amz_10000032,order_amz_20000032,12-08-2026 08:56,PAYMENT,792.73,15.85,2.85,774.03,captured,upi,NO,amazon,az_delhi
pay_amz_10000033,order_amz_20000033,13-08-2026 15:09,PAYMENT,4769.98,95.4,17.17,4657.41,captured,card,NO,amazon,az_mumbai
pay_amz_10000034,order_amz_20000034,14-08-2026 22:22,PAYMENT,4845.34,96.91,17.44,4730.99,captured,netbanking,NO,amazon,az_bangalore
pay_amz_10000035,order_amz_20000035,15-08-2026 05:35,PAYMENT,4137.79,82.76,14.9,4040.13,captured,wallet,NO,amazon,az_hyderabad
pay_amz_10000036,order_amz_20000036,16-08-2026 12:48,PAYMENT,1870.76,37.42,6.74,1826.6,captured,upi,NO,amazon,az_delhi
pay_amz_10000037,order_amz_20000037,17-08-2026 19:01,PAYMENT,939.52,18.79,3.38,917.35,captured,card,NO,amazon,az_mumbai
pay_amz_10000038,order_amz_20000038,18-08-2026 02:14,PAYMENT,3579.05,71.58,12.88,3494.59,captured,netbanking,NO,amazon,az_bangalore
pay_amz_10000039,order_amz_20000039,19-08-2026 09:27,PAYMENT,2480.69,49.61,8.93,2422.15,captured,wallet,NO,amazon,az_hyderabad
pay_amz_10000040,order_amz_20000040,20-08-2026 16:40,PAYMENT,1049.17,20.98,3.78,1024.41,captured,upi,NO,amazon,az_delhi
pay_amz_10000041,order_amz_20000041,21-08-2026 23:53,PAYMENT,2728.3,54.57,9.82,2663.91,captured,card,NO,amazon,az_mumbai
pay_amz_10000042,order_amz_20000042,01-08-2026 06:06,PAYMENT,654.75,13.1,2.36,639.29,captured,netbanking,NO,amazon,az_bangalore
pay_amz_10000043,order_amz_20000043,02-08-2026 13:19,PAYMENT,4591.94,91.84,16.53,4483.57,captured,wallet,NO,amazon,az_hyderabad
pay_amz_10000044,order_amz_20000044,03-08-2026 20:32,PAYMENT,1664.51,33.29,5.99,1625.23,captured,upi,NO,amazon,az_delhi
pay_amz_10000045,order_amz_20000045,04-08-2026 03:45,REFUND,3481.35,0.0,0.0,-3481.35,processed,card,NO,amazon,az_mumbai
pay_amz_10000046,order_amz_20000046,05-08-2026 10:58,REFUND,1902.7,0.0,0.0,-1902.7,processed,card,NO,amazon,az_bangalore
pay_amz_10000047,order_amz_20000047,06-08-2026 17:11,REFUND,2840.31,0.0,0.0,-2840.31,processed,card,NO,amazon,az_hyderabad
pay_amz_10000048,order_amz_20000048,07-08-2026 00:24,REFUND,2960.2,0.0,0.0,-2960.2,processed,card,NO,amazon,az_delhi
pay_amz_10000049,order_amz_20000049,08-08-2026 07:37,REFUND,1331.85,0.0,0.0,-1331.85,processed,card,NO,amazon,az_mumbai
pay_amz_10000050,order_amz_20000050,09-08-2026 14:50,REFUND,4863.13,0.0,0.0,-4863.13,processed,card,NO,amazon,az_bangalore
pay_amz_10000051,order_amz_20000051,10-08-2026 21:03,REFUND,3988.1,0.0,0.0,-3988.1,processed,card,NO,amazon,az_hyderabad
pay_amz_10000052,order_amz_20000052,11-08-2026 04:16,REFUND,4727.75,0.0,0.0,-4727.75,processed,card,NO,amazon,az_delhi
pay_amz_10000053,order_amz_20000053,12-08-2026 11:29,PAYOUT,4526.72,5.0,0.9,-4532.62,processed,netbanking,NO,amazon,az_mumbai
pay_amz_10000054,order_amz_20000054,13-08-2026 18:42,PAYOUT,3190.55,5.0,0.9,-3196.4500000000003,processed,netbanking,NO,amazon,az_bangalore
pay_amz_10000055,order_amz_20000055,14-08-2026 01:55,PAYOUT,4648.43,5.0,0.9,-4654.33,processed,netbanking,NO,amazon,az_hyderabad
pay_amz_10000056,order_amz_20000056,15-08-2026 08:08,PAYOUT,898.22,5.0,0.9,-904.12,processed,netbanking,NO,amazon,az_delhi
pay_amz_10000057,order_amz_20000057,16-08-2026 15:21,PAYOUT,1381.92,5.0,0.9,-1387.8200000000002,processed,netbanking,NO,amazon,az_mumbai
pay_amz_10000058,order_amz_20000058,17-08-2026 22:34,PAYOUT,703.52,5.0,0.9,-709.42,processed,netbanking,NO,amazon,az_bangalore
pay_amz_10000059,order_amz_20000059,18-08-2026 05:47,PAYOUT,1963.99,5.0,0.9,-1969.89,processed,netbanking,NO,amazon,az_hyderabad
