transaction_id,order_id,timestamp,type,amount_inr,fee_inr,tax_inr,settled_amount_inr,status,method,exception_flag
pay_63826716,order_17869910,06-08-2026 12:00,PAYMENT,4926.69,98.53,17.74,4810.42,captured,wallet,NO
pay_84593961,order_98834863,16-08-2026 04:12,PAYMENT,1490.57,29.81,5.37,1455.39,captured,netbanking,NO
pay_17672593,order_16729990,19-08-2026 15:32,PAYMENT,4597.74,91.95,16.55,4489.24,captured,card,NO
pay_19196777,order_89864260,03-08-2026 21:55,REFUND,1183.67,23.67,4.26,-1183.67,refunded,card,NO
pay_87701200,order_89795010,02-08-2026 19:05,PAYMENT,2101.93,42.04,7.57,2052.32,failed,card,NO
pay_99889098,order_52169044,08-08-2026 08:25,PAYMENT,663.08,13.26,2.39,647.43,failed,upi,NO
pay_11250299,order_71510041,20-08-2026 18:06,PAYMENT,375.57,7.51,1.35,366.71,failed,upi,NO
pay_42787299,order_59597086,10-08-2026 05:28,PAYMENT,4170.39,83.41,15.01,4071.97,failed,upi,NO
pay_99639081,,10-08-2026 21:06,PAYMENT,4695.26,93.91,16.9,4584.45,captured,card,YES
pay_46553958,order_47816686,20-08-2026 06:45,REFUND,1720.97,34.42,6.2,-1720.97,refunded,wallet,NO
pay_43704923,order_16818112,03-08-2026 20:27,PAYMENT,4148.45,0,0,4148.45,captured,netbanking,NO
pay_31687165,order_69302158,18-08-2026 22:27,PAYOUT,2808.93,5,0.9,-2814.83,processed,card,NO
pay_83227889,order_14835614,12-08-2026 18:35,PAYMENT,748.99,14.98,2.7,731.31,captured,upi,NO
pay_58024342,order_38195995,08-08-2026 21:06,REFUND,1774.86,35.5,6.39,-1774.86,refunded,card,NO
pay_41774346,order_31810617,06-08-2026 13:01,PAYMENT,905.01,18.1,3.26,883.65,captured,card,NO
pay_45810056,order_31367172,04-08-2026 12:55,PAYMENT,203.24,4.06,0.73,198.45,failed,netbanking,NO
pay_50962024,order_40547349,08-08-2026 00:42,REFUND,973.72,19.47,3.5,-973.72,refunded,netbanking,NO
pay_57130035,order_96098221,17-08-2026 12:43,PAYOUT,4905.94,5,0.9,-4911.84,processed,upi,NO
pay_45059710,order_33966966,19-08-2026 08:02,PAYMENT,550.93,11.02,1.98,537.93,captured,upi,NO
pay_61700055,order_87388337,07-08-2026 08:02,PAYOUT,3546.84,5,0.9,-3552.74,processed,card,NO
pay_58884978,order_67887757,03-08-2026 21:58,REFUND,1657.7,33.15,5.97,-1657.7,refunded,netbanking,NO
pay_78064830,order_51511484,14-08-2026 10:25,PAYMENT,3489.07,69.78,12.56,3406.73,captured,wallet,NO
pay_33357554,,19-08-2026 09:25,PAYMENT,2744.21,0,0,2744.21,captured,netbanking,YES
pay_72409658,order_69295515,15-08-2026 21:13,PAYOUT,2560.76,5,0.9,-2566.66,processed,card,NO
pay_98429450,order_21381064,10-08-2026 16:42,REFUND,3168.37,63.37,11.41,-3168.37,refunded,card,NO
pay_51663795,order_40150759,07-08-2026 04:01,PAYMENT,240.61,4.81,0.87,234.93,captured,wallet,NO
pay_65625330,order_94525678,19-08-2026 06:45,PAYMENT,3484.81,69.7,12.55,3402.56,captured,upi,NO
pay_24305904,order_67062156,08-08-2026 05:51,PAYMENT,4790.25,95.81,17.25,4677.19,captured,upi,NO
pay_71265269,order_27896471,15-08-2026 21:33,PAYOUT,4939.58,5,0.9,-4945.48,processed,wallet,NO
pay_92228802,order_77750178,14-08-2026 17:28,PAYMENT,4487.07,89.74,16.15,4381.18,disputed,card,YES
pay_95585469,order_47220099,17-08-2026 15:40,PAYMENT,1203.84,24.08,4.33,1175.43,captured,netbanking,NO
pay_52910691,order_82498004,03-08-2026 04:09,PAYMENT,1163.99,23.28,4.19,1136.52,captured,wallet,NO
pay_54410148,order_82828034,15-08-2026 13:03,PAYOUT,1042.1,5,0.9,-1048,processed,upi,NO
pay_87267850,order_61053877,16-08-2026 00:22,REFUND,1500.08,30,5.4,-1500.08,refunded,wallet,NO
pay_82238741,order_83300637,20-08-2026 07:31,PAYMENT,1104.91,22.1,3.98,1078.83,captured,wallet,NO
